category,title,price,link
Комп'ютерна техніка,Ноутбук Apple MacBook Neo 13 A18 8/256GB (MHFF4) Indigo,35999,https://allo.ua/ua/products/notebooks/noutbuk-apple-macbook-neo-13-a18-8-256gb-mhff4-indigo.html
Комп'ютерна техніка,Ноутбук Xiaomi RedmiBook 16 2024 i5/16GB/512GB/W11 (JYU4585CN),26999,https://allo.ua/ua/products/notebooks/noutbuk-xiaomi-redmibook-16-i5-16gb-512gb-w11-jyu4585cn.html
Комп'ютерна техніка,Ноутбук Xiaomi RedmiBook 16 2024 i5/16GB/512GB/Win11 (JYU4614CN),27999,https://allo.ua/ua/products/notebooks/noutbuk-xiaomi-redmibook-16-2024-i5-16gb-1t-jyu4615cn-1-1.html
Комп'ютерна техніка,Ноутбук Xiaomi RedmiBook 14 2025 i5/16GB/512GB/Win11 (JYU4677CN),26999,https://allo.ua/ua/products/notebooks/noutbuk-xiaomi-redmibook-14-2025-i5-16gb-512gb-win11-jyu4677cn.html
Комп'ютерна техніка,Ноутбук ASUS Vivobook 15 M1502YA-BQ325 (90NB0X21-M00EU0),24999,https://allo.ua/ua/products/notebooks/noutbuk-asus-vivobook-15-m1502ya-bq325-90nb0x21-m00eu0.html
Комп'ютерна техніка,Ноутбук Xiaomi RedmiBook 14 2025 R5/16G/512GB/W11(JYU4680CN),23999,https://allo.ua/ua/products/notebooks/noutbuk-xiaomi-redmibook-14-2025-r5-16g-512gb-w11-jyu4680cn.html
Комп'ютерна техніка,Ноутбук HP Victus 15-fa2707ua (BF1H3EA),41999,https://allo.ua/ua/products/notebooks/noutbuk-hp-victus-15-fa2707ua-bf1h3ea.html
Комп'ютерна техніка,Ноутбук Acer Nitro V 16 AI ANV16-42-R0S5 (NH.U1KEU.008),40999,https://allo.ua/ua/products/notebooks/noutbuk-acer-nitro-v-16-ai-anv16-42-r0s5-nh-u1keu-008.html
Комп'ютерна техніка,Ноутбук ASUS TUF Gaming A16 FA608UH-RV026 (90NR0KS1-M00210),57999,https://allo.ua/ua/products/notebooks/noutbuk-asus-tuf-gaming-a16-fa608uh-rv026-90nr0ks1-m00210.html
Комп'ютерна техніка,"Ноутбук Apple MacBook Air 13""M4 16/256GB 2025 (MW0Y3) Starlight",51999,https://allo.ua/ua/products/notebooks/noutbuk-apple-macbook-air-13-m4-16-256gb-mw0y3-starlight.html
Комп'ютерна техніка,Ноутбук Dream Machines RG3050-15 (RG3050-15UA70),36999,https://allo.ua/ua/products/notebooks/noutbuk-dream-machines-rg3050-15-rg3050-15ua70.html
Комп'ютерна техніка,Ноутбук Lenovo LOQ 15IRX9 Luna Grey (83DV01C2RA),41999,https://allo.ua/ua/products/notebooks/noutbuk-lenovo-loq-15irx9-luna-grey-83dv01c2ra.html
Комп'ютерна техніка,Ноутбук Acer Aspire Lite AL15-46P-R9LE (NX.JXVEU.003),17999,https://allo.ua/ua/products/notebooks/noutbuk-acer-aspire-lite-al15-41p-nx-jxveu-003.html
Комп'ютерна техніка,Ноутбук ASUS TUF Gaming A15 FA506NC-HN169 (90NR0JF7-M00DE0),38999,https://allo.ua/ua/products/notebooks/noutbuk-asus-tuf-gaming-a15-fa506nc-hn169-90nr0jf7-m00de0.html
Комп'ютерна техніка,Ноутбук Acer Nitro V 15 AI ANV15-42-R5DY (NH.QV4EU.006),41999,https://allo.ua/ua/products/notebooks/noutbuk-acer-nitro-v-15-ai-anv15-42-r5dy-nh-qv4eu-006.html
Комп'ютерна техніка,Ноутбук Dream Machines RG5050-15 (RG5050-15UA26),58999,https://allo.ua/ua/products/notebooks/noutbuk-dream-machines-rg5050-15-rg5050-15ua26.html
Комп'ютерна техніка,Ноутбук ASUS X1504VA-BQ3123 (90NB13Y1-M01560),25999,https://allo.ua/ua/products/notebooks/noutbuk-asus-x1504va-bq3123-90nb13y1-m01560.html
Комп'ютерна техніка,"Ігровий ноутбук Asus TUF Gaming F15 ""Open Box""",26600,https://allo.ua/ua/products/notebooks/igrovoj-noutbuk-asus-tuf-gaming-f15-open-box.html
Комп'ютерна техніка,Ноутбук ASUS Vivobook 15 X1504VA-BQ1875 (90NB10J1-M02TN0),23999,https://allo.ua/ua/products/notebooks/noutbuk-asus-vivobook-15-x1504va-bq1875-90nb10j1-m02tn0.html
