category,title,price,link
Телевізори,Телевізор JVC LT-43MU759,11599,https://comfy.ua/ua/televizor-jvc-lt-43mu759.html
Телевізори,Телевізор LG 43UA75006LA,14199,https://comfy.ua/ua/televizor-lg-43ua75006la.html
Телевізори,Телевізор Samsung UE50U8000FUXUA,19499,https://comfy.ua/ua/televizor-samsung-ue50u8000fuxua.html
Телевізори,Телевізор TCL 43P6K,13499,https://comfy.ua/ua/televizor-tcl-43p6k.html
Телевізори,Телевізор Samsung UE40F6000FUXUA,11999,https://comfy.ua/ua/televizor-samsung-ue40f6000fuxua.html
Телевізори,Телевізор JVC LT-32MU238,6999,https://comfy.ua/ua/televizor-jvc-lt-32mu238.html
Телевізори,Телевізор Samsung QE65QN70FAUXUA,49999,https://comfy.ua/ua/televizor-samsung-qe65qn70fauxua.html
Телевізори,Телевізор Liberton LTV-24H02GT,5499,https://comfy.ua/ua/televizor-liberton-ltv-24h02gt.html
Телевізори,Телевізор Kivi 40F820KB,9999,https://comfy.ua/ua/televizor-kivi-40f820kb.html
Телевізори,Телевізор Samsung QE55Q6FAAUXUA,23999,https://comfy.ua/ua/televizor-samsung-qe55q6faauxua.html
Телевізори,Телевізор Samsung UE43U8000FUXUA,15999,https://comfy.ua/ua/televizor-samsung-ue43u8000fuxua.html
Телевізори,Телевізор Samsung QE55QN70FAUXUA,36999,https://comfy.ua/ua/televizor-samsung-qe55qn70fauxua.html
Телевізори,Телевізор Samsung QE43Q7FAAUXUA,18999,https://comfy.ua/ua/televizor-samsung-qe43q7faauxua.html
Телевізори,Телевізор Shivaki S32NHCH001,4599,https://comfy.ua/ua/televizor-shivaki-s32nhch001.html
Телевізори,Телевізор Samsung QE50Q7FAAUXUA,23999,https://comfy.ua/ua/televizor-samsung-qe50q7faauxua.html
Телевізори,Телевізор Kivi 55U820KB,17999,https://comfy.ua/ua/televizor-kivi-55u820kb.html
Телевізори,Телевізор Xiaomi TV A Pro 43 2026 (L43MB-APME),13499,https://comfy.ua/ua/televizor-xiaomi-tv-a-pro-43-2026.html
Телевізори,Телевізор LG 55UA75006LA,20999,https://comfy.ua/ua/televizor-lg-55ua75006la.html
Телевізори,Телевізор Xiaomi TV A Pro 55 2026 (L55MB-APME),17999,https://comfy.ua/ua/televizor-xiaomi-tv-a-pro-55-2026-l55mb-apme-10040906.html
