category,title,price,link
Комп'ютерна техніка,"Ноутбук Acer Aspire Lite AL15-33P-32NT (NX.D62EU.003) Natural Titanium / 15.6"" IPS / Intel Core 3 N355 / RAM 16 ГБ / SSD 512 ГБ","23 999
19 999",https://rozetka.com.ua/ua/acer-nxd62eu003/p541415240/
Комп'ютерна техніка,"Ноутбук ASUS TUF Gaming A15 FA506NCG-HN206 (90NR0JF7-M00HF0) Graphite Black / 15.6"" IPS Full HD 144 Гц / AMD Ryzen 7 7445HS / RAM 16 ГБ / SSD 512 ГБ / NVIDIA GeForce RTX 3050, 4 ГБ","47 999
39 999",https://rozetka.com.ua/ua/asus-90nr0jf7-m00hf0/p542932555/
Комп'ютерна техніка,"Ноутбук Apple MacBook Neo 13"" A18 Pro 8/512GB 2026 (MHFE4UA/A) Citrus","39 999
45 999
37 999",https://rozetka.com.ua/ua/apple-mhfe4ua-a/p580756609/
Комп'ютерна техніка,"Ноутбук Lenovo IdeaPad 1 15AMN7 (82VG00RHRA) Cloud Grey / 15.6"" IPS / AMD Ryzen 3 7320U / RAM 16 ГБ / SSD 512 ГБ","26 999
21 999",https://rozetka.com.ua/ua/lenovo-82vg00rhra/p450318713/
Комп'ютерна техніка,Ноутбук HP 255R G10 (B39STAT) Dark Ash Silver / 15.6” SVA / AMD Ryzen 5 7535U / RAM 16 ГБ / SSD 512 ГБ,"23 999
28 999
22 799",https://rozetka.com.ua/ua/hp-b39stat/p569726329/
Комп'ютерна техніка,"Ноутбук ASUS ROG Strix G18 (2025) G814PP-S9022 (90NR0KY8-M000T0) Eclipse Gray / 18"" IPS WQXGA 240 Гц / AMD Ryzen 9 8940HX / RAM 32 ГБ / SSD 1 ТБ / GeForce RTX 5070, 8 ГБ","109 999
93 999",https://rozetka.com.ua/ua/asus-90nr0ky8-m000t0/p516087464/
Комп'ютерна техніка,"Ноутбук Lenovo IdeaPad Slim 5 16ARP10 (83HU0038RA) Luna Grey / 16"" IPS WUXGA / AMD Ryzen 5 7535HS / RAM 16 ГБ / SSD 512 ГБ / AMD Radeon 660M","39 999
32 999",https://rozetka.com.ua/ua/lenovo-83hu0038ra/p548601141/
Комп'ютерна техніка,"Ноутбук Xiaomi Mi RedmiBook 16 2024 (1122314) Silver / 16"" IPS WUXGA / Intel Core i5-13420H / RAM 16 ГБ / SSD 512 ГБ / Win11 + MS Office","34 999
27 999",https://rozetka.com.ua/ua/xiaomi-1122314/p588745930/
Комп'ютерна техніка,"Ноутбук Acer Nitro Lite NL16-71G-58HN (NH.DAEEU.001) Shale Black / 16” IPS WUXGA 165 Гц / Intel Core i5-13420H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4050, 6 ГБ","45 999
42 999",https://rozetka.com.ua/ua/acer-nhdaeeu001/p528977584/
Комп'ютерна техніка,"Ноутбук ASUS TUF Gaming F16 FX607VU-RL071 (90NR0N06-M00EK0) Mecha Gray / 16"" IPS WUXGA 144 Гц / Intel Core 5 210H / RAM 16 ГБ / SSD 1 ТБ / RTX 4050, 6 ГБ / Зарядка по USB","59 999
51 999",https://rozetka.com.ua/ua/asus-90nr0n06-m00ek0/p545086008/
Комп'ютерна техніка,"Ноутбук Lenovo Legion 5 15AKP10 (83F1005VRA) Eclipse Black / 15.1"" OLED WQXGA 165 Гц / AMD Ryzen AI 7 350 / RAM 24 ГБ / SSD 1 ТБ / GeForce RTX 5070, 8 ГБ (TDP 115 Вт)","91 999
79 999",https://rozetka.com.ua/ua/lenovo-83f1005vra/p563348313/
Комп'ютерна техніка,"Ноутбук HP Laptop 15-fd0188ua (CS8B3EA) Natural Silver / 15.6"" IPS Full HD / Intel Core 5 120U / RAM 24 ГБ / SSD 512 ГБ","27 999
36 999
26 599",https://rozetka.com.ua/ua/hp-cs8b3ea/p564422691/
Комп'ютерна техніка,"Ноутбук Acer Nitro V 15 ANV15-52-53T2 (NH.QV3EU.00E) Obsidian Black / 15.6"" IPS 165 Гц / Intel Core i5-13420H / RAM 16 ГБ / SSD 1 ТБ / RTX 3050, 6 ГБ (TDP 65 Вт)","47 999
41 999",https://rozetka.com.ua/ua/acer-nhqv3eu00e/p537188929/
Комп'ютерна техніка,"Ноутбук ASUS Vivobook 15 X1504VA-BQ2684 (90NB10J2-M036R0) Cool Silver / 15.6"" IPS Full HD / Intel Core i3-1315U / RAM 16 ГБ / SSD 512 ГБ","28 999
22 999",https://rozetka.com.ua/ua/asus-90nb10j2-m036r0/p525549809/
Комп'ютерна техніка,"Ноутбук Lenovo IdeaPad Slim 3 15IAH8 (83ER00NGRA) Arctic Grey / 15.6"" IPS Full HD / Intel Core i5-12450H / RAM 16 ГБ / SSD 512 ГБ","32 999
26 999",https://rozetka.com.ua/ua/lenovo-83er00ngra/p560706792/
Комп'ютерна техніка,"Ноутбук HP OmniBook 3 Laptop 16-by0026ua (D4PG6EA) Glacier Silver / 16"" IPS WUXGA / AMD Ryzen 7 7735U / RAM 24 ГБ / SSD 512 ГБ","37 999
31 999",https://rozetka.com.ua/ua/hp-d4pg6ea/p584233669/
Комп'ютерна техніка,"Ноутбук Acer Nitro Lite NL16-71G-56P7 (NH.DAAEU.001) Shale Black / 16” IPS WUXGA 165 Гц / Intel Core i5-13420H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 6 ГБ","39 999
36 999",https://rozetka.com.ua/ua/acer-nhdaaeu001/p528975609/
Комп'ютерна техніка,"Ноутбук ASUS ROG Strix G16 (2025) G615JMR-RV203 (90NR0LB1-M00960) Eclipse Gray / 16"" IPS WUXGA 165 Гц / Intel Core i7-14650HX / RAM 16 ГБ / SSD 512 ГБ / GeForce RTX 5060, 8 ГБ (TDP 115 Вт)","81 999
72 999",https://rozetka.com.ua/ua/asus-90nr0lb1-m00960/p569578690/
Комп'ютерна техніка,"Ноутбук Lenovo LOQ Essential 15IRX11 (83SC0033RA) Luna Grey / 15.6"" IPS Full HD 144 Гц / Intel Core i5-13450HX / RAM 16 ГБ / SSD 1 ТБ / GeForce RTX 5060, 8 ГБ","66 999
55 999",https://rozetka.com.ua/ua/lenovo-83sc0033ra/p552701310/
Комп'ютерна техніка,"Ноутбук Apple MacBook Air 13.6"" M4 16/256GB 2025 (MW0W3UA/A) Silver","51 999
55 999
49 399",https://rozetka.com.ua/ua/apple-mw0w3ua-a/p489464834/
