category,title,price,link
Телевізори,"Телевізор Samsung QLED 55"" QE55Q7FAAUXUA","25 999
31 999
24 699",https://rozetka.com.ua/ua/samsung-qe55q7faauxua/p504209694/
Телевізори,"Телевізор Haier QLED 55"" H55S80FUX","15 999
28 999
15 199",https://rozetka.com.ua/ua/haier-h55s80fux/p552771828/
Телевізори,"Телевізор Samsung 50"" UE50U8000FUXUA","19 499
22 499
18 524",https://rozetka.com.ua/ua/samsung-ue50u8000fuxua/p516718914/
Телевізори,"Телевізор Samsung QLED 43"" QE43Q7FAAUXUA","18 999
22 999
18 049",https://rozetka.com.ua/ua/samsung-qe43q7faauxua/p504205254/
Телевізори,"Телевізор LG 43"" 43NANO81A6A","17 499
18 999
16 624",https://rozetka.com.ua/ua/lg-43nano81a6a/p506356924/
Телевізори,"Телевізор LG 43"" 43UA75006LA","15 499
17 499
14 724",https://rozetka.com.ua/ua/lg-43ua75006la/p506356944/
Телевізори,"Телевізор Ergo QLED 60"" 60JUQ7500","18 999
27 999
17 669",https://rozetka.com.ua/ua/ergo-60juq7500/p541989285/
Телевізори,Телевізор Samsung UE40F6000FUXUA,"11 999
13 499
11 399",https://rozetka.com.ua/ua/samsung-ue40f6000fuxua/p498395174/
Телевізори,"Телевізор Samsung 55"" UE55U8000FUXUA","21 999
25 499
20 899",https://rozetka.com.ua/ua/samsung-ue55u8000fuxua/p516718934/
Телевізори,Телевізор Ergo QLED 40'' 40JFQ7500,"7 999
12 499
7 439",https://rozetka.com.ua/ua/ergo-40jfq7500/p581458228/
Телевізори,"Телевізор LG 55"" 55UA75006LA","20 999
24 999
19 949",https://rozetka.com.ua/ua/lg-55ua75006la/p506356994/
Телевізори,Телевізор Ergo QLED 32'' 32JHQ7500,"5 999
8 499
5 699",https://rozetka.com.ua/ua/ergo-32jhq7500/p581449606/
Телевізори,"Телевізор Haier 70"" H70K801UG","29 999
35 999
28 499",https://rozetka.com.ua/ua/haier-h70k801ug/p485891134/
Телевізори,"Телевізор LG OLED 42"" OLED42C54LA","41 999
49 999
39 899",https://rozetka.com.ua/ua/lg-oled42c54la/p506356784/
Телевізори,"Телевізор Haier QLED 32"" H32S80EFX","7 199
7 299
6 839",https://rozetka.com.ua/ua/haier-h32s80efx/p563884167/
Телевізори,"Телевізор Samsung 43"" UE43U8000FUXUA","15 999
17 999
15 199",https://rozetka.com.ua/ua/samsung-ue43u8000fuxua/p516718204/
Телевізори,"Телевізор Ergo 55"" 55GUS6500","15 999
17 999
15 199",https://rozetka.com.ua/ua/ergo-55gus6500/p395129766/
Телевізори,"Телевізор Hisense MiniLED 55"" 55E8Q","32 999
37 999
31 349",https://rozetka.com.ua/ua/hisense-55e8q/p513734019/
Телевізори,"Телевізор LG OLED 65"" OLED65B56LA","74 999
89 999
71 249",https://rozetka.com.ua/ua/lg-oled65b56la/p506356904/
Телевізори,"Телевізор LG OLED 65"" OLED65C54LA","92 999
119 999
88 349",https://rozetka.com.ua/ua/lg-oled65c54la/p506356829/
Телевізори,"Телевізор Samsung MiniLED 55"" QE55QN70FAUXUA","36 999
40 999
35 149",https://rozetka.com.ua/ua/samsung-qe55qn70fauxua/p504103249/
